School ID,School Name
175,School Within School at Goding
202,Aiton ES
203,Amidon Bowen ES
204,Bancroft ES at Sharpe
205,Barnard ES
206,Beers ES
212,Brent ES
213,Brightwood EC
219,Bunker Hill ES
220,Burroughs ES
221,Burrville ES
224,Cleveland ES
227,H D Cooke ES
231,Drew ES
232,Eaton ES
238,Garfield ES
239,Garrison ES
246,Hardy MS
247,C W  Harris ES
249,Hendley ES
251,Houston ES
252,Hyde Addison ES
254,Janney ES
257,Ketcham ES
258,Hearst ES
259,Kimball ES
261,Lafayette ES
262,Langdon ES
264,LaSalle Backus EC
266,Leckie ES
271,Ludlow Taylor ES
272,Key ES
273,Mann ES
274,Maury ES
280,Miner ES
284,Marie Reed ES at MacFarland
285,Moten ES
287,Murch ES
288,Nalle ES
290,Noyes ES
291,Orr ES
292,Oyster Adams Bilingual School
294,Patterson ES
295,Payne ES
296,Bruce Monroe ES at Park View
299,Plummer ES
300,Powell ES
301,Peabody ES Capitol Hill Cluster
302,Raymond EC
304,River Terrace EC
305,Ross ES
307,Savoy ES
308,Malcolm X ES at Green
309,Seaton ES
313,Shepherd ES
315,Simon ES
316,Randle Highlands ES
319,Stanton ES
321,Stoddert ES
322,Smothers ES
324,Takoma EC
325,Thomas ES
326,Thomson ES
327,Truesdell EC
328,Tubman ES
329,Turner ES
330,Tyler ES
331,Van Ness ES
332,Walker Jones EC
333,Watkins ES Capitol Hill Cluster
335,Wheatley EC
336,West EC
338,Whittier EC
339,J O Wilson ES
344,King M L ES
347,Brookland MS
349,Dorothy I Height ES
360,Capitol Hill Montessori School at Logan
370,Langley ES
402,Benjamin Banneker HS
404,Browne EC
405,Deal MS
407,Eliot Hine MS
409,School Without Walls at Francis Stevens
413,Hart MS
416,Johnson John Hayden MS
417,Kramer MS
420,MacFarland MS
421,Kelly Miller MS
427,Sousa MS
428,Stuart Hobson MS Capitol Hill Cluster
433,Jefferson Middle School Academy
435,McKinley MS
436,Ron Brown College Preparatory High School
442,Columbia Heights EC
450,Anacostia HS
452,Ballou HS
454,Cardozo EC
455,Coolidge HS
456,Roosevelt STAY
457,Eastern HS
458,McKinley Technology HS
459,Roosevelt HS
462,Ballou STAY
463,Wilson HS
464,Woodson H D HS
466,School Without Walls HS
467,Dunbar HS
471,Duke Ellington School of the Arts
474,Washington Metropolitan HS
478,Phelps Architecture Construction and Engineering HS
480,Inspiring Youth Program
861,Youth Services Center
884,Luke Moore Alternative HS
947,CHOICE Academy at Wash Met
1137,AppleTree Early Learning Center PCS Oklahoma Avenue
140,AppleTree Early Learning Center PCS Columbia Heights
141,AppleTree Early Learning Center PCS Southwest
3072,AppleTree Early Learning Center PCS Southeast
3073,AppleTree Early Learning Center PCS Lincoln Park
142,Bridges PCS
1207,Capital City PCS High School
182,Capital City PCS Middle School
184,Capital City PCS Lower School
102,Cesar Chavez PCS for Public Policy Parkside Middle School
109,Cesar Chavez PCS for Public Policy Parkside High School
127,Cesar Chavez PCS for Public Policy Chavez Prep
153,Cesar Chavez PCS for Public Policy Capitol Hill
199,DC Bilingual PCS
1110,DC Preparatory Academy PCS Benning Elementary School
130,DC Preparatory Academy PCS Edgewood Elementary School
196,DC Preparatory Academy PCS Edgewood Middle School
218,DC Preparatory Academy PCS Benning Middle School
276,DC Preparatory Academy PCS Anacostia Elementary School
1138,EL Haynes PCS High School
1206,EL Haynes PCS Elementary School
146,EL Haynes PCS Middle School
1125,Eagle Academy PCS Capitol Riverfront
195,Eagle Academy PCS Congress Heights
138,Early Childhood Academy PCS
126,Briya PCS
1124,Friendship PCS Technology Preparatory Academy Middle
113,Friendship PCS Southeast Academy
1164,Friendship PCS Technology Preparatory Academy High School
186,Friendship PCS Collegiate Academy
268,Friendship PCS Online
269,Friendship PCS Armstrong
361,Friendship PCS Blow Pierce Elementary School
362,Friendship PCS Blow Pierce Middle School
363,Friendship PCS Chamberlain Elementary School
364,Friendship PCS Chamberlain Middle School
365,Friendship PCS Woodridge Elementary School
366,Friendship PCS Woodridge Middle School
114,Hope Community PCS Tolson
131,Hope Community PCS Lamond
188,Cedar Tree Academy PCS
115,Howard University Middle School of Mathematics and Science PCS
161,Perry Street Preparatory PCS
163,IDEA PCS
134,Ideal Academy PCS
1121,KIPP DC PCS Promise Academy
1122,KIPP DC Discover Academy PCS
1123,KIPP DC College Preparatory Academy PCS
1129,KIPP DC Grow Academy PCS
116,KIPP DC AIM Academy PCS
121,KIPP DC WILL Academy PCS
132,KIPP DC LEAP Academy PCS
189,KIPP DC KEY Academy PCS
190,KIPP DC Lead Academy PCS
209,KIPP DC Connect Academy PCS
214,KIPP DC Spring Academy PCS
236,KIPP DC Arts and Technology Academy PCS
237,KIPP DC Quest Academy PCS
242,KIPP DC Northeast Academy PCS
243,KIPP DC Valor Academy PCS
3071,KIPP DC Heights Academy PCS
193,Latin American Montessori Bilingual PCS
128,Youthbuild PCS
135,Mary McLeod Bethune Day Academy PCS
101,Maya Angelou PCS - High School
137,Maya Angelou PCS Young Adult Learning Center
165,Meridian PCS
170,Paul PCS Middle School
222,Paul PCS International High School
173,Roots PCS
174,SEED PCS of Washington DC
1047,St. Coletta Special Education PCS
159,Elsie Whitlow Stokes Community Freedom PCS
168,The Next Step El Proximo Paso PCS
191,Thurgood Marshall Academy PCS
198,Two Rivers PCS 4th St
270,Two Rivers PCS Young
1118,Washington Latin PCS Upper School
125,Washington Latin PCS Middle School
178,Washington Mathematics Science Technology PCHS
210,City Arts & Prep PCS
1100,Achievement Preparatory Academy PCS Wahler Place Middle School
217,Achievement Preparatory Academy PCS Wahler Place Elementary School
1103,Center City PCS Brightwood
1104,Center City PCS Capitol Hill
1105,Center City PCS Congress Heights
1106,Center City PCS Petworth
1107,Center City PCS Shaw
1108,Center City PCS Trinidad
1113,Excel Academy PCS
1117,Washington Yu Ying PCS
1119,Carlos Rosario International PCS
1120,National Collegiate Preparatory PCHS
3064,Inspired Teaching Demonstration PCS
3066,Shining Stars Montessori Academy PCS
3067,Richard Wright PCS for Journalism and Media Arts
3068,BASIS DC PCS
3069,Creative Minds International PCS
3070,DC Scholars PCS
3065,Mundo Verde Bilingual PCS
104,LAYC Career Academy PCS
200,Ingenuity Prep PCS
197,Sela PCS
187,Somerset Preparatory Academy PCS
216,Community College Preparatory Academy PCS
228,Lee Montessori PCS
233,Academy of Hope Adult PCS
234,Democracy Prep Congress Heights PCS
245,Harmony DC PCS School of Excellence
248,District of Columbia International School
260,Monument Academy PCS
263,Washington Global PCS
267,Kingsman Academy PCS
255,The Children's Guild PCS
289,Breakthrough Montessori PCS
297,Goodwill Excel Center PCS
286,Rocketship DC PCS
283,Washington Leadership Academy PCS
